"long","lat","order","hole","piece","group","id"
-761984.0061,7147205.7269,130,FALSE,"1","Cavan.1","Cavan"
-766030.0159,7146550.5519,131,FALSE,"1","Cavan.1","Cavan"
-770765.3732,7149884.2328,132,FALSE,"1","Cavan.1","Cavan"
-772064.1023,7149612.0771,133,FALSE,"1","Cavan.1","Cavan"
-771486.2445,7145978.2625,134,FALSE,"1","Cavan.1","Cavan"
-774398.7736,7144372.6746,135,FALSE,"1","Cavan.1","Cavan"
-776243.997,7145963.3119,136,FALSE,"1","Cavan.1","Cavan"
-775096.504,7140603.4717,137,FALSE,"1","Cavan.1","Cavan"
-769481.718,7134056.9638,138,FALSE,"1","Cavan.1","Cavan"
-772556.2149,7132063.0871,139,FALSE,"1","Cavan.1","Cavan"
-771611.8815,7129239.9072,140,FALSE,"1","Cavan.1","Cavan"
-773823.0579,7128895.681,141,FALSE,"1","Cavan.1","Cavan"
-775128.3579,7130678.247,142,FALSE,"1","Cavan.1","Cavan"
-777160.9673,7127202.9128,143,FALSE,"1","Cavan.1","Cavan"
-778734.6878,7128804.6943,144,FALSE,"1","Cavan.1","Cavan"
-779483.4407,7125880.3339,145,FALSE,"1","Cavan.1","Cavan"
-783479.8552,7128002.5717,146,FALSE,"1","Cavan.1","Cavan"
-790909.0811,7127953.0936,147,FALSE,"1","Cavan.1","Cavan"
-791589.9819,7130795.927,148,FALSE,"1","Cavan.1","Cavan"
-793460.7788,7130573.1128,149,FALSE,"1","Cavan.1","Cavan"
-796387.5381,7133553.9541,150,FALSE,"1","Cavan.1","Cavan"
-796684.15,7131250.5279,151,FALSE,"1","Cavan.1","Cavan"
-799815.1344,7130247.7879,152,FALSE,"1","Cavan.1","Cavan"
-800817.3015,7131373.0132,153,FALSE,"1","Cavan.1","Cavan"
-802888.6418,7129650.1554,154,FALSE,"1","Cavan.1","Cavan"
-803048.6074,7126873.1578,155,FALSE,"1","Cavan.1","Cavan"
-809689.4476,7128471.8722,156,FALSE,"1","Cavan.1","Cavan"
-813506.3392,7134775.3348,157,FALSE,"1","Cavan.1","Cavan"
-817475.4074,7132197.0633,158,FALSE,"1","Cavan.1","Cavan"
-824877.8058,7128403.2271,159,FALSE,"1","Cavan.1","Cavan"
-824992.0864,7130445.0016,160,FALSE,"1","Cavan.1","Cavan"
-830674.1183,7132621.8595,161,FALSE,"1","Cavan.1","Cavan"
-832128.6854,7134658.8003,162,FALSE,"1","Cavan.1","Cavan"
-831062.5868,7136758.2617,163,FALSE,"1","Cavan.1","Cavan"
-832299.7139,7142474.2778,164,FALSE,"1","Cavan.1","Cavan"
-837981.0128,7144365.7779,165,FALSE,"1","Cavan.1","Cavan"
-839683.8608,7142457.4674,166,FALSE,"1","Cavan.1","Cavan"
-844175.3041,7142005.9083,167,FALSE,"1","Cavan.1","Cavan"
-842870.3229,7147477.1797,168,FALSE,"1","Cavan.1","Cavan"
-841092.767,7147193.0039,169,FALSE,"1","Cavan.1","Cavan"
-840411.8249,7149889.453,170,FALSE,"1","Cavan.1","Cavan"
-841650.7523,7152294.0327,171,FALSE,"1","Cavan.1","Cavan"
-843844.9089,7151881.6892,172,FALSE,"1","Cavan.1","Cavan"
-847131.8175,7158512.1693,173,FALSE,"1","Cavan.1","Cavan"
-844463.4219,7162535.5821,174,FALSE,"1","Cavan.1","Cavan"
-844317.1198,7166561.1341,175,FALSE,"1","Cavan.1","Cavan"
-846024.8297,7167861.8837,176,FALSE,"1","Cavan.1","Cavan"
-845234.0433,7173308.6536,177,FALSE,"1","Cavan.1","Cavan"
-847228.4724,7175223.0878,178,FALSE,"1","Cavan.1","Cavan"
-847384.4689,7173759.8262,179,FALSE,"1","Cavan.1","Cavan"
-850502.6149,7174440.5142,180,FALSE,"1","Cavan.1","Cavan"
-849982.0224,7177830.7955,181,FALSE,"1","Cavan.1","Cavan"
