"","FID","LE_ID","ENGLISH","COUNTY","GUID","Pop2016","C19_P14_T","P14_100k","P14_100k_T","Ire_IncP14","EventDate"
"108",108,13260418,"ONGAR LEA-5","DUBLIN","2ae19629-3ef4-13a3-e055-000002200001",35834,"62",173,"173",88.2,"2020/09/28 00:00:00+00"
"109",109,1340406,"BANTRY-WEST CORK LEA-4","CORK","2ae19629-3f41-13a3-e055-000000000001",22424,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"110",110,1330403,"ENNIS LEA-7","CLARE","2ae19629-3f62-13a3-e055-000000000001",30910,"35",113.2,"113.2",88.2,"2020/09/28 00:00:00+00"
"111",111,13150402,"CASTLEBAR LEA-7","MAYO","2ae19629-3f16-13a3-e055-000000000001",29992,"8",26.7,"26.7",88.2,"2020/09/28 00:00:00+00"
"112",112,13230403,"MULLINGAR LEA-6","WESTMEATH","2ae19629-3ef4-13a3-e055-900000000111",25960,"16",61.6,"61.6",88.2,"2020/09/28 00:00:00+00"
"113",113,13120402,"CAPPAMORE-KILMALLOCK LEA-7","LIMERICK","2ae19629-3f09-13a3-e055-000000000001",34821,"7",20.1,"20.1",88.2,"2020/09/28 00:00:00+00"
"114",114,13260410,"BLACKROCK LEA-6","DUBLIN","2ae19629-3f4f-13a3-e055-000000000001",33727,"22",65.2,"65.2",88.2,"2020/09/28 00:00:00+00"
"115",115,1350400,"GLENTIES LEA-6","DONEGAL","2ae19629-3f43-13a3-e055-000000000001",23919,"34",142.1,"142.1",88.2,"2020/09/28 00:00:00+00"
"116",116,1350403,"BUNCRANA LEA-5","DONEGAL","2ae19629-3f46-13a3-e055-000000000001",22366,"26",116.2,"116.2",88.2,"2020/09/28 00:00:00+00"
"117",117,13260409,"DÚN LAOGHAIRE LEA-7","DUBLIN","2ae19629-3f4e-13a3-e055-000000000001",41627,"37",88.9,"88.9",88.2,"2020/09/28 00:00:00+00"
"118",118,13200402,"SLIGO-STRANDHILL LEA-6","SLIGO","2ae19629-3ef4-13a3-e055-007589300001",21129,"11",52.1,"52.1",88.2,"2020/09/28 00:00:00+00"
"119",119,1350405,"LETTERKENNY LEA-7","DONEGAL","2ae19629-3ef4-13a3-e055-700012002301",29791,"59",198,"198",88.2,"2020/09/28 00:00:00+00"
"120",120,1380401,"CELBRIDGE LEA-4","KILDARE","2ae19629-3f70-13a3-e055-000000000001",21626,"66",305.2,"305.2",88.2,"2020/09/28 00:00:00+00"
"121",121,1330400,"ENNISTIMON LEA-4","CLARE","2ae19629-3f5f-13a3-e055-000000000001",16408,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"122",122,1370403,"KENMARE LEA-6","KERRY","2ae19629-3f6e-13a3-e055-000000000001",25062,"12",47.9,"47.9",88.2,"2020/09/28 00:00:00+00"
"123",123,13160404,"TRIM LEA-6","MEATH","2ae19629-3f1c-13a3-e055-000000000001",31195,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"124",124,13160403,"RATOATH LEA-7","MEATH","2ae19629-3f1b-13a3-e055-000000000001",33318,"22",66,"66",88.2,"2020/09/28 00:00:00+00"
"125",125,13210401,"ROSCREA-TEMPLEMORE LEA-4","TIPPERARY","2ae19629-3f2d-13a3-e055-000000000001",16594,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"126",126,13180401,"TULLAMORE LEA-7","OFFALY","2ae19629-3f22-13a3-e055-000000000001",29159,"28",96,"96",88.2,"2020/09/28 00:00:00+00"
"127",127,1360401,"TUAM LEA-7","GALWAY","2ae19629-3f49-13a3-e055-000000000001",33191,"15",45.2,"45.2",88.2,"2020/09/28 00:00:00+00"
"128",128,13100400,"BORRIS-IN-OSSORY -MOUNTMELLICK LEA-6","LAOIS","2ae19629-3eff-13a3-e055-000000000001",24807,"5",20.2,"20.2",88.2,"2020/09/28 00:00:00+00"
"129",129,13230402,"KINNEGAD LEA-5","WESTMEATH","2ae19629-3f38-13a3-e055-000000000001",21674,"8",36.9,"36.9",88.2,"2020/09/28 00:00:00+00"
"130",130,13260428,"DONAGHMEDE LEA-5","DUBLIN","2ae19629-3f5e-13a3-e055-000000000001",41593,"71",170.7,"170.7",88.2,"2020/09/28 00:00:00+00"
"131",131,1350401,"MILFORD LEA-3","DONEGAL","2ae19629-3f44-13a3-e055-000000000001",13771,"10",72.6,"72.6",88.2,"2020/09/28 00:00:00+00"
"132",132,1360422,"GALWAY CITY EAST LEA-6","GALWAY","2ae19629-3f6a-13a3-e055-000000000001",26595,"25",94,"94",88.2,"2020/09/28 00:00:00+00"
"133",133,13220421,"WATERFORD CITY SOUTH LEA-6","WATERFORD","2ae19629-3f34-13a3-e055-000000000001",22476,"24",106.8,"106.8",88.2,"2020/09/28 00:00:00+00"
"134",134,13140402,"ARDEE LEA-6","LOUTH","2ae19629-3f12-13a3-e055-000000000001",25317,"7",27.6,"27.6",88.2,"2020/09/28 00:00:00+00"
"135",135,13140403,"DROGHEDA RURAL LEA-4","LOUTH","2ae19629-3f13-13a3-e055-000000000001",17876,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"136",136,13110400,"MANORHAMILTON LEA-6","LEITRIM","2ae19629-3f04-13a3-e055-000000000001",10821,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"137",137,13250403,"WICKLOW LEA-6","WICKLOW","2ae19629-3ef5-13a3-e055-000000000001",28219,"13",46.1,"46.1",88.2,"2020/09/28 00:00:00+00"
